dataset_version,sha256_manifest,label_mapping_version,allowed_train_use,allowed_test_use,dataset,official_source,raw_or_processed,scientific_role,generalization_axis,task_types,group_keys,leakage_keys,feature_leakage_candidates,raw_format,feature_extractor,feature_extractor_version,flow_timeout,modality,feature_space,required_split,attack_value,unknown_attack_possible,risk_or_gap,quarantine_status,ingestion_priority,evidence_priority,next_adapter
verify at acquisition,required before eligibility,ips-family-v1,only after eligibility gate,only under declared generalization protocol,CSE-CIC-IDS2018,UNB CIC/AWS,official/processed,active enterprise temporal evidence,"[""time"", ""scenario"", ""attack_family""]","[""binary_detection"", ""open_set_detection""]","[""source_day"", ""hour_group""]","[""source_day"", ""capture_file"", ""timestamp_window""]","[""src_ip"", ""dst_ip"", ""flow_id"", ""timestamp"", ""capture_filename""]",daily CICFlowMeter CSV,CICFlowMeter-V3,UNB release,release-defined,network flow,CSE flow features,complete-day chronological,BruteForce and DoS in active subset,True,processed features and counterfactual IPS outcomes,eligible subset after audit,0,1,add later days without retuning final test
verify at acquisition,required before eligibility,ips-family-v1,only after eligibility gate,only under declared generalization protocol,CICIoT2023,UNB CIC,official/processed,large-scale IoT detector development,"[""device"", ""capture"", ""time"", ""attack_family""]","[""binary_detection"", ""closed_set_multiclass"", ""open_set_detection""]","[""capture_id"", ""device_id"", ""attack_run_id""]","[""capture_id"", ""device_id"", ""scenario_id"", ""timestamp_window""]","[""src_ip"", ""dst_ip"", ""MAC"", ""device_id"", ""capture_filename""]",PCAP + CSV,release extractor,verify,verify,network,CICIoT tabular,capture/device/time-group disjoint,33 attacks / seven categories,True,mirrors may expose random row splits,audit-required,1,2,official provenance + capture/device manifest
verify at acquisition,required before eligibility,ips-family-v1,only after eligibility gate,only under declared generalization protocol,TON_IoT,UNSW Canberra,official/processed,cross-domain and telemetry shift,"[""source"", ""time"", ""network"", ""modality""]","[""binary_detection"", ""ood_detection""]","[""source"", ""scenario"", ""time_window""]","[""source"", ""scenario"", ""host"", ""time_window""]","[""src_ip"", ""dst_ip"", ""host_id"", ""timestamp"", ""source_file""]",network + telemetry CSV,modality-specific,verify,verify,multi-modal,modality-isolated,source/time/scenario disjoint,heterogeneous IoT/IIoT attacks,True,modalities must not be silently pooled,modality isolation required,2,1,network-flow modality first
verify at acquisition,required before eligibility,ips-family-v1,only after eligibility gate,only under declared generalization protocol,IoT-23,Stratosphere Laboratory,raw capture re-derived,real-malware external validation,"[""capture"", ""scenario"", ""malware_family""]","[""binary_detection"", ""open_set_detection"", ""ood_detection""]","[""capture_id"", ""scenario_id""]","[""capture_id"", ""scenario_id"", ""infected_host""]","[""src_ip"", ""dst_ip"", ""capture_id"", ""scenario_id""]",PCAP + Zeek conn.log,Zeek,manifest required,Zeek default/versioned,Zeek network flows,Zeek conn,entire capture/scenario disjoint,"C&C, DDoS, scan, malware behavior",True,extreme imbalance,none after audit,3,1,labelled conn.log parser
verify at acquisition,required before eligibility,ips-family-v1,only after eligibility gate,only under declared generalization protocol,CICAPT-IIoT,UNB CIC,official/raw+processed,multi-stage APT/provenance validation,"[""campaign"", ""scenario"", ""technique""]","[""open_set_detection"", ""ood_detection""]","[""campaign"", ""run"", ""phase""]","[""campaign"", ""run"", ""process_id"", ""attack_time""]","[""node_id"", ""process_id"", ""attack_script_id"", ""scenario_id""]",provenance graph + PCAP,graph/network separate,verify,not shared across modalities,provenance graph,nodes/edges; never zero-filled into flow table,campaign/run disjoint,>20 techniques / eight tactics,True,not directly comparable with flow tables,separate experimental track,4,1,provenance-graph track
verify at acquisition,required before eligibility,ips-family-v1,only after eligibility gate,only under declared generalization protocol,X-IIoTID,authors / IEEE IoT Journal,official/processed,device/connectivity-independent IIoT validation,"[""device"", ""connectivity"", ""scenario""]","[""binary_detection"", ""ood_detection""]","[""device"", ""scenario"", ""source_group""]","[""device"", ""scenario"", ""source_group""]","[""device_id"", ""IP"", ""timestamp"", ""scenario_id""]",IIoT telemetry table,authors,verify,verify,IIoT security telemetry,network-observable subset first,device/scenario/source-group disjoint,heterogeneous IIoT behavior,True,identifier and environment-feature audit required,identifier audit required,5,2,schema + network-observable subset
verify at acquisition,required before eligibility,ips-family-v1,only after eligibility gate,only under declared generalization protocol,MQTT-IoT-IDS2020,University of Strathclyde / IEEE DataPort,official/raw+processed,protocol-specific external generalization,"[""protocol"", ""capture"", ""scenario""]","[""binary_detection"", ""open_set_detection""]","[""capture"", ""scenario"", ""time_window""]","[""capture"", ""scenario"", ""time_window""]","[""IP"", ""capture_filename"", ""scenario_id""]",PCAP + packet/uniflow/biflow CSV,authors at three abstraction levels,verify,verify,MQTT network,MQTT + common-feature projection,capture/scenario/time disjoint,"MQTT brute force, scans, SSH brute force",True,protocol-specific features differ from generic flow schema,representation isolation required,6,2,MQTT flow adapter + semantic intersection
verify at acquisition,required before eligibility,ips-family-v1,only after eligibility gate,only under declared generalization protocol,MedBIoT,Tallinn University of Technology,official/raw,independent botnet transfer validation,"[""device"", ""capture"", ""botnet_run""]","[""binary_detection"", ""open_set_detection""]","[""device"", ""capture"", ""botnet_run""]","[""device"", ""capture"", ""botnet_run""]","[""IP"", ""MAC"", ""device_id"", ""capture_filename""]",PCAP,project parser required,not selected,not selected,network,botnet common-feature projection,device/capture/botnet-run disjoint,botnet propagation,True,narrow threat domain,none after audit,7,3,botnet-only external benchmark
verify at acquisition,required before eligibility,ips-family-v1,only after eligibility gate,only under declared generalization protocol,Edge-IIoTset,authors / original publication,known/reported-tainted derivative,leakage negative control; future raw-backed IIoT validation,"[""device"", ""capture"", ""scenario""]","[""binary_detection"", ""ood_detection""]","[""device"", ""capture"", ""scenario""]","[""serialization_branch"", ""capture"", ""device"", ""scenario""]","[""categorical_placeholder"", ""IP"", ""timestamp"", ""source_file""]",curated CSV + raw PCAP,raw reparse required,forbidden curated representation,must be versioned,IoT/IIoT network,raw-backed only,device/capture/scenario disjoint,IoT + IIoT diversity,True,reported 0 vs 0.0 serialization/provenance leakage,QUARANTINED — raw PCAP reparse + leakage sentinel required,8,3,raw reconstruction; curated data negative-control only
verify at acquisition,required before eligibility,ips-family-v1,only after eligibility gate,only under declared generalization protocol,Bot-IoT,UNSW Canberra,official/processed,botnet prevalence stress test,"[""capture"", ""time"", ""attack_family""]","[""binary_detection""]","[""capture"", ""attack_run""]","[""capture"", ""attack_run"", ""time_window""]","[""IP"", ""port"", ""sequence"", ""source_file""]",PCAP + flow CSV,UNSW release,verify,verify,network flow,botnet-centric,capture/time-group disjoint,botnet traffic,True,lab prevalence differs from deployment,audit-required,9,3,schema and label audit
verify at acquisition,required before eligibility,ips-family-v1,only after eligibility gate,only under declared generalization protocol,N-BaIoT,UCI repository/paper,official/processed,device-held-out benign-only anomaly validation,"[""device"", ""attack_run""]","[""open_set_detection"", ""ood_detection""]","[""device"", ""attack_run""]","[""device"", ""attack_run""]","[""device_id"", ""source_file""]",aggregated statistics CSV,authors,verify,multi-window aggregation,network statistics,aggregated device behavior,device and attack-run disjoint,Mirai/BASHLITE,True,limited intervention timing,benign-only training protocol,10,3,device-held-out anomaly benchmark
