detector,calibration,policy,distribution,status
HistGradientBoosting,none,rule,in_domain,CURRENTLY_ELIGIBLE_OR_PARTIAL
HistGradientBoosting,none,rule,future_time,CURRENTLY_ELIGIBLE_OR_PARTIAL
HistGradientBoosting,none,rule,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,none,rule,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,none,rule,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,none,optimal_stopping,in_domain,CURRENTLY_ELIGIBLE_OR_PARTIAL
HistGradientBoosting,none,optimal_stopping,future_time,CURRENTLY_ELIGIBLE_OR_PARTIAL
HistGradientBoosting,none,optimal_stopping,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,none,optimal_stopping,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,none,optimal_stopping,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,none,LinUCB,in_domain,CURRENTLY_ELIGIBLE_OR_PARTIAL
HistGradientBoosting,none,LinUCB,future_time,CURRENTLY_ELIGIBLE_OR_PARTIAL
HistGradientBoosting,none,LinUCB,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,none,LinUCB,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,none,LinUCB,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,none,DQN,in_domain,CURRENTLY_ELIGIBLE_OR_PARTIAL
HistGradientBoosting,none,DQN,future_time,CURRENTLY_ELIGIBLE_OR_PARTIAL
HistGradientBoosting,none,DQN,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,none,DQN,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,none,DQN,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,none,constrained_PPO,in_domain,CURRENTLY_ELIGIBLE_OR_PARTIAL
HistGradientBoosting,none,constrained_PPO,future_time,CURRENTLY_ELIGIBLE_OR_PARTIAL
HistGradientBoosting,none,constrained_PPO,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,none,constrained_PPO,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,none,constrained_PPO,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,Platt,rule,in_domain,CURRENTLY_ELIGIBLE_OR_PARTIAL
HistGradientBoosting,Platt,rule,future_time,CURRENTLY_ELIGIBLE_OR_PARTIAL
HistGradientBoosting,Platt,rule,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,Platt,rule,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,Platt,rule,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,Platt,optimal_stopping,in_domain,CURRENTLY_ELIGIBLE_OR_PARTIAL
HistGradientBoosting,Platt,optimal_stopping,future_time,CURRENTLY_ELIGIBLE_OR_PARTIAL
HistGradientBoosting,Platt,optimal_stopping,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,Platt,optimal_stopping,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,Platt,optimal_stopping,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,Platt,LinUCB,in_domain,CURRENTLY_ELIGIBLE_OR_PARTIAL
HistGradientBoosting,Platt,LinUCB,future_time,CURRENTLY_ELIGIBLE_OR_PARTIAL
HistGradientBoosting,Platt,LinUCB,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,Platt,LinUCB,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,Platt,LinUCB,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,Platt,DQN,in_domain,CURRENTLY_ELIGIBLE_OR_PARTIAL
HistGradientBoosting,Platt,DQN,future_time,CURRENTLY_ELIGIBLE_OR_PARTIAL
HistGradientBoosting,Platt,DQN,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,Platt,DQN,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,Platt,DQN,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,Platt,constrained_PPO,in_domain,CURRENTLY_ELIGIBLE_OR_PARTIAL
HistGradientBoosting,Platt,constrained_PPO,future_time,CURRENTLY_ELIGIBLE_OR_PARTIAL
HistGradientBoosting,Platt,constrained_PPO,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,Platt,constrained_PPO,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,Platt,constrained_PPO,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,isotonic,rule,in_domain,CURRENTLY_ELIGIBLE_OR_PARTIAL
HistGradientBoosting,isotonic,rule,future_time,CURRENTLY_ELIGIBLE_OR_PARTIAL
HistGradientBoosting,isotonic,rule,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,isotonic,rule,new_dataset,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,isotonic,rule,adversarial,PLANNED_REQUIRES_NEW_EVIDENCE
HistGradientBoosting,isotonic,optimal_stopping,in_domain,CURRENTLY_ELIGIBLE_OR_PARTIAL
HistGradientBoosting,isotonic,optimal_stopping,future_time,CURRENTLY_ELIGIBLE_OR_PARTIAL
HistGradientBoosting,isotonic,optimal_stopping,unknown_family,PLANNED_REQUIRES_NEW_EVIDENCE
