source,source_type,idea,decision,scientific_guardrail
Akamai AkaNAT,production engineering report,shared-IP classification plus detect/forget state,ADOPTED AS SAFETY CONTRACT,controlled guardrail only until verified NAT/proxy labels exist
Jayalaxmi et al. IoT IDS/IPS survey,IEEE Access survey,"IoT method, dataset, feasibility and real-time taxonomy",ADOPTED AS RESEARCH CHECKLIST,survey results are not local empirical policy evidence
Schaul et al. PER,peer-reviewed method,proportional prioritized replay + importance weights,ADOPTED + BENCHMARKED,"same split, seeds, mask and validation selection as uniform DQN"
Hammar & Stadler optimal stopping,IPS paper,transparent stopping threshold baseline,ADOPTED + BENCHMARKED,inspired baseline; not called a reproduction
Huang & Ontañón action masking,paper + GitHub,mask invalid actions in policy gradients,ADOPTED + ABLATED,report proposed-invalid rate and executed safety enforcement
Jiang & Li OPE,ICML paper,importance/doubly robust offline evaluation,WIS DIAGNOSTIC ONLY,DR blocked without genuine behavior logs and independent outcome model
CyberBattleSim / CSLE / gym-idsgame,research platforms,"topology, delayed actions, emulation and attacker adaptation",ROADMAP,do not merge abstract cyber-range scores with flow-dataset evidence
HF CIC-IoT-2023-full,dataset mirror/card,large Parquet development access,CANDIDATE SOURCE,random split cannot support temporal claims; verify official provenance
Kaggle CIC-IDS Collection,cleaned derivative,harmonized labels and flawed-feature cleanup,SENSITIVITY SOURCE,separate from official raw experiments; respect derivative license
Kaggle cleaned CICIDS2017,cleaned derivative,feature cleaning/selection workflow,REJECT AS PRIMARY,rare Heartbleed/Infiltration classes removed
